symbol,macro,industry,basic
CURAA,Information Technology,IT - Software,Computers - Software & Consulting
CWD,Consumer Durables,Consumer Durables,Consumer Electronics
CYBELEIND,Capital Goods,Electrical Equipment,Other Electrical Equipment
CYBERMEDIA,"Media, Entertainment & Publication",Media,Electronic Media
CYBERTECH,Information Technology,IT - Software,Computers - Software & Consulting
CYIENT,Information Technology,IT - Services,IT Enabled Services
CYIENTDLM,Capital Goods,Aerospace & Defense,Aerospace & Defense
DABUR,Fast Moving Consumer Goods,Personal Products,Personal Care
DACHEPALLI,"Media, Entertainment & Publication",Printing & Publication,Printing & Publication
DAICHI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DAIKAFFI,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DAL,Financial Services,Finance,Non Banking Financial Company (NBFC)
DALBHARAT,Construction Materials,Cement & Cement Products,Cement & Cement Products
DALMIASUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DAMCAPITAL,Financial Services,Capital Markets,Stockbroking & Allied
DAMODARIND,Textiles,Textiles & Apparels,Other Textile Products
DANLAW,Capital Goods,Industrial Manufacturing,Industrial Products
DANUBE,Services,Commercial Services & Supplies,Trading & Distributors
DAPS,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
DARJEELING,Financial Services,Finance,Other Financial Services
DARSHANORNA,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DATAMATICS,Information Technology,IT - Services,IT Enabled Services
DATAPATTNS,Capital Goods,Aerospace & Defense,Aerospace & Defense
DATIWARE,Services,Transport Services,Shipping
DAULAT,Financial Services,Finance,Other Financial Services
DAVANGERE,Fast Moving Consumer Goods,Diversified FMCG,Diversified FMCG
DAVIN,Textiles,Textiles & Apparels,Garments & Apparels
DBCORP,"Media, Entertainment & Publication",Media,Print Media
DBEIL,Construction,Construction,Civil Construction
DBL,Construction,Construction,Civil Construction
DBOL,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DBREALTY,Realty,Realty,"Residential, Commercial Projects"
DBSTOCKBRO,Financial Services,Capital Markets,Stockbroking & Allied
DCAL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DCBBANK,Financial Services,Banks,Private Sector Bank
DCI,Information Technology,IT - Hardware,Computers Hardware & Equipments
DCM,Information Technology,IT - Services,IT Enabled Services
DCMFINSERV,Financial Services,Finance,Investment Company
DCMNVL,Textiles,Textiles & Apparels,Other Textile Products
DCMSHRIRAM,Diversified,Diversified,Diversified
DCMSIL,Textiles,Textiles & Apparels,Other Textile Products
DCMSRIND,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DCW,Chemicals,Chemicals & Petrochemicals,Petrochemicals
DCXINDIA,Capital Goods,Aerospace & Defense,Aerospace & Defense
DDEVPLSTIK,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DECCAN,Healthcare,Healthcare Services,Healthcare Service Provider
DECCANCE,Construction Materials,Cement & Cement Products,Cement & Cement Products
DECIPHER,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DECNGOLD,Metals & Mining,Non - Ferrous Metals,Precious Metals
DECOMIC,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
DECPO,Capital Goods,Industrial Products,Packaging
DEEDEV,Capital Goods,Industrial Manufacturing,Industrial Products
DEEP,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DEEPAI,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DEEPAKCHEM,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DEEPAKFERT,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
DEEPAKNTR,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DEEPAKSP,Textiles,Textiles & Apparels,Other Textile Products
DEEPINDS,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
DEFRAIL,Capital Goods,Industrial Products,Rubber
DEL,Capital Goods,Electrical Equipment,Other Electrical Equipment
DELHIVERY,Services,Transport Services,Logistics Solution Provider
DELPHIFX,Financial Services,Finance,Other Financial Services
DELTA,Financial Services,Finance,Other Financial Services
DELTACORP,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
DELTAMAGNT,Capital Goods,Industrial Products,Other Industrial Products
DEN,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
DENISCHEM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DENORA,Capital Goods,Industrial Products,Electrodes & Refractories
DENTA,Utilities,Other Utilities,Water Supply & Management
DESCO,Construction,Construction,Civil Construction
DESHRAK,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DEVINE,Services,Commercial Services & Supplies,Trading & Distributors
DEVIT,Information Technology,IT - Services,IT Enabled Services
DEVITRD,Financial Services,Finance,Other Financial Services
DEVLAB,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DEVSON,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DEVX,Services,Commercial Services & Supplies,Diversified Commercial Services
DEVYANI,Consumer Services,Leisure Services,Restaurants
DFL,Financial Services,Finance,Non Banking Financial Company (NBFC)
DFPL,Fast Moving Consumer Goods,Food Products,Dairy Products
DGCONTENT,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
DGL,Services,Commercial Services & Supplies,Trading & Distributors
DHABRIYA,Capital Goods,Industrial Products,Plastic Products - Industrial
DHAMPURE,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DHAMPURSUG,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DHANBANK,Financial Services,Banks,Private Sector Bank
DHANCOT,Services,Commercial Services & Supplies,Trading & Distributors
DHANFAB,Textiles,Textiles & Apparels,Other Textile Products
DHANROTO,Textiles,Textiles & Apparels,Other Textile Products
DHANSAFAL,Financial Services,Finance,Non Banking Financial Company (NBFC)
DHANUKA,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
DHARAN,Realty,Realty,"Residential, Commercial Projects"
DHARFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
DHARMAJ,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
DHARNI,Financial Services,Capital Markets,Financial Products Distributor
DHATRE,Capital Goods,Industrial Products,Iron & Steel Products
DHENUBUILD,Financial Services,Finance,Non Banking Financial Company (NBFC)
DHILLON,Services,Transport Services,Logistics Solution Provider
DHINDIA,Capital Goods,Industrial Manufacturing,Industrial Products
DHOOTIN,Services,Commercial Services & Supplies,Trading & Distributors
DHPIND,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
DHRUV,Services,Commercial Services & Supplies,Consulting Services
DHRUVCA,Financial Services,Finance,Non Banking Financial Company (NBFC)
DHUNINV,Financial Services,Finance,Non Banking Financial Company (NBFC)
DHYAANITR,Services,Commercial Services & Supplies,Trading & Distributors
DIACABS,Capital Goods,Electrical Equipment,Other Electrical Equipment
DIAMINESQ,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DIAMONDYD,Fast Moving Consumer Goods,Food Products,Packaged Foods
DIANATEA,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
DICIND,Chemicals,Chemicals & Petrochemicals,Printing Inks
DIDL,Services,Commercial Services & Supplies,Trading & Distributors
DIFFNKG,Capital Goods,Industrial Products,Other Industrial Products
DIGIDRIVE,Consumer Services,Retailing,E-Retail/ E-Commerce
DIGILOGIC,Capital Goods,Aerospace & Defense,Aerospace & Defense
DIGISPICE,Information Technology,IT - Services,IT Enabled Services
DIGITIDE,Information Technology,IT - Services,IT Enabled Services
DIGJAMLMTD,Textiles,Textiles & Apparels,Other Textile Products
DIKSAT,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
DIKSHA,Capital Goods,Industrial Products,Packaging
DILIGENT,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
DISAQ,Capital Goods,Industrial Manufacturing,Industrial Products
DISHTV,"Media, Entertainment & Publication",Entertainment,TV Broadcasting & Software Production
DITCO,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DIVGIITTS,Automobile and Auto Components,Auto Components,Auto Components & Equipments
DIVISLAB,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DIVSHKT,Construction Materials,Other Construction Materials,Other Construction Materials
DIXON,Consumer Durables,Consumer Durables,Consumer Electronics
DJML,Services,Transport Services,Logistics Solution Provider
DJSSS,Financial Services,Finance,Other Financial Services
DKUAL,Consumer Durables,Consumer Durables,Household Appliances
DLCL,Healthcare,Healthcare Services,Healthcare Service Provider
DLF,Realty,Realty,"Residential, Commercial Projects"
DLINKINDIA,Information Technology,IT - Hardware,Computers Hardware & Equipments
DLTNCBL,Capital Goods,Electrical Equipment,Other Electrical Equipment
DMART,Consumer Services,Retailing,Diversified Retail
DMCC,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DML,Services,Commercial Services & Supplies,Trading & Distributors
DMR,Services,Commercial Services & Supplies,Consulting Services
DNAMEDIA,"Media, Entertainment & Publication",Media,Electronic Media
DODLA,Fast Moving Consumer Goods,Food Products,Dairy Products
DOLATALGO,Financial Services,Capital Markets,Stockbroking & Allied
DOLFIN,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
DOLLAR,Textiles,Textiles & Apparels,Garments & Apparels
DOLPHIN,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
DOMS,Fast Moving Consumer Goods,Household Products,Stationary
DONEAR,Textiles,Textiles & Apparels,Other Textile Products
DPABHUSHAN,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
DPL,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DPWIRES,Capital Goods,Industrial Products,Iron & Steel Products
DRA,Services,Commercial Services & Supplies,Consulting Services
DRAGARWQ,Healthcare,Healthcare Services,Hospital
DRCSYSTEMS,Information Technology,IT - Software,Computers - Software & Consulting
DREAMFOLKS,Services,Transport Infrastructure,Airport & Airport services
DREDGECORP,Services,Engineering Services,Dredging
DRL,Services,Commercial Services & Supplies,Diversified Commercial Services
DRONACHRYA,Services,Commercial Services & Supplies,Diversified Commercial Services
DRREDDY,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
DSFCL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DSINVEST,Financial Services,Finance,Investment Company
DSSL,Information Technology,IT - Services,IT Enabled Services
DTIL,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
DUCON,Capital Goods,Industrial Manufacturing,Industrial Products
DUKEOFS,"Oil, Gas & Consumable Fuels",Oil,Oil Equipment & Services
DUNCANENG,Automobile and Auto Components,Auto Components,Auto Components & Equipments
DUROPACK,Capital Goods,Industrial Products,Plastic Products - Industrial
DUROPLY,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
DUTRON,Capital Goods,Industrial Products,Plastic Products - Industrial
DVL,Capital Goods,Industrial Products,Packaging
DWARKESH,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
DYCL,Capital Goods,Industrial Products,Cables - Electricals
DYNAMATECH,Capital Goods,Industrial Manufacturing,Industrial Products
DYNAMICP,Financial Services,Finance,Non Banking Financial Company (NBFC)
DYNAMIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
DYNAVSN,Services,Commercial Services & Supplies,Diversified Commercial Services
DYNPRO,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
E2E,Information Technology,IT - Services,IT Enabled Services
EARKART,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
EARTH,Capital Goods,Industrial Products,Iron & Steel Products
EASEMYTRIP,Consumer Services,Leisure Services,"Tour, Travel Related Services"
EASTBUILD,Realty,Realty,"Residential, Commercial Projects"
EASTINDIA,Services,Commercial Services & Supplies,Trading & Distributors
EASTRED,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
EASTSILK,Textiles,Textiles & Apparels,Other Textile Products
EASTWEST,Services,Transport Services,Logistics Solution Provider
EASUN,Financial Services,Finance,Non Banking Financial Company (NBFC)
EASYFIN,Financial Services,Finance,Investment Company
EBGNG,Information Technology,IT - Hardware,Computers Hardware & Equipments
EBIX,Consumer Services,Leisure Services,Hotels & Resorts
ECLERX,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ECOBOAR,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ECOHOTELS,Consumer Services,Leisure Services,Hotels & Resorts
ECOPLAST,Capital Goods,Industrial Products,Plastic Products - Industrial
ECORECO,Utilities,Other Utilities,Waste Management
ECOSMOBLTY,Services,Transport Services,Road Transport
ECSTSTL,Capital Goods,Industrial Products,Iron & Steel Products
EDELWEISS,Financial Services,Finance,Holding Company
EDVENSWA,Information Technology,IT - Software,Computers - Software & Consulting
EENTER,Financial Services,Finance,Other Financial Services
EFCIL,Services,Commercial Services & Supplies,Diversified Commercial Services
EFORU,Services,Commercial Services & Supplies,Trading & Distributors
EICHERMOT,Automobile and Auto Components,Automobiles,2/3 Wheelers
EIDPARRY,Fast Moving Consumer Goods,Food Products,Other Food Products
EIEL,Utilities,Other Utilities,Water Supply & Management
EIGHTY,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
EIHAHOTELS,Consumer Services,Leisure Services,Hotels & Resorts
EIHOTEL,Consumer Services,Leisure Services,Hotels & Resorts
EIKO,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
EIMCOELECO,Capital Goods,Industrial Manufacturing,Industrial Products
EKAMLEA,Services,Commercial Services & Supplies,Diversified Commercial Services
EKANSH,Services,Commercial Services & Supplies,Consulting Services
EKC,Capital Goods,Industrial Manufacturing,Industrial Products
EKENNIS,Information Technology,IT - Services,IT Enabled Services
EKI,Services,Commercial Services & Supplies,Consulting Services
ELAND,Textiles,Textiles & Apparels,Other Textile Products
ELANGO,Capital Goods,Industrial Products,Iron & Steel Products
ELANTAS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ELCIDIN,Financial Services,Finance,Investment Company
ELDEHSG,Realty,Realty,"Residential, Commercial Projects"
ELECON,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ELECTCAST,Capital Goods,Industrial Products,Iron & Steel Products
ELECTHERM,Capital Goods,Industrial Products,Iron & Steel Products
ELEFLOR,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ELEMARB,Consumer Durables,Consumer Durables,Granites & Marbles
ELFIN,Fast Moving Consumer Goods,Food Products,Other Food Products
ELFORGE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ELGIEQUIP,Capital Goods,Industrial Products,"Compressors, Pumps & Diesel Engines"
ELIN,Consumer Durables,Consumer Durables,Household Appliances
ELITECON,Fast Moving Consumer Goods,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products
ELIXIR,Financial Services,Finance,Other Financial Services
ELLEN,Chemicals,Chemicals & Petrochemicals,Industrial Gases
ELNET,Information Technology,IT - Services,IT Enabled Services
ELPROINTL,Realty,Realty,"Residential, Commercial Projects"
EMAINDIA,Capital Goods,Industrial Manufacturing,Industrial Products
EMAMILTD,Fast Moving Consumer Goods,Personal Products,Personal Care
EMAMIPAP,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
EMAMIREAL,Realty,Realty,"Residential, Commercial Projects"
EMBDL,Realty,Realty,"Residential, Commercial Projects"
EMCURE,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
EMERALD,Financial Services,Finance,Non Banking Financial Company (NBFC)
EMERALL,Consumer Services,Leisure Services,Hotels & Resorts
EMERGENT,Metals & Mining,Metals & Minerals Trading,Trading - Metals
EMIAC,"Media, Entertainment & Publication",Media,Web based media and service
EMIL,Consumer Services,Retailing,Diversified Retail
EMKAY,Financial Services,Capital Markets,Stockbroking & Allied
EMMBI,Capital Goods,Industrial Products,Packaging
EMMESSA,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
EMMFORCE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
EMMVEE,Capital Goods,Electrical Equipment,Other Electrical Equipment
EMPIND,Diversified,Diversified,Diversified
EMPOWER,Information Technology,IT - Software,Computers - Software & Consulting
EMROCK,Fast Moving Consumer Goods,Food Products,Packaged Foods
EMSLIMITED,Utilities,Other Utilities,Waste Management
EMUDHRA,Information Technology,IT - Services,IT Enabled Services
ENBETRD,Services,Commercial Services & Supplies,Diversified Commercial Services
ENCODE,"Media, Entertainment & Publication",Media,Print Media
ENDURANCE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ENERGYDEV,Power,Power,Power Generation
ENGINERSIN,Construction,Construction,Civil Construction
ENIL,"Media, Entertainment & Publication",Entertainment,Media & Entertainment
ENKEIWHEL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ENRIN,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ENTERO,Consumer Services,Retailing,Pharmacy Retail
ENTRINT,Services,Commercial Services & Supplies,Trading & Distributors
ENVAIREL,Capital Goods,Industrial Manufacturing,Industrial Products
EPACK,Consumer Durables,Consumer Durables,Household Appliances
EPACKPEB,Capital Goods,Industrial Manufacturing,Industrial Products
EPBIO,Utilities,Other Utilities,Waste Management
EPIC,Financial Services,Finance,Non Banking Financial Company (NBFC)
EPIGRAL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
EPL,Capital Goods,Industrial Products,Packaging
EPSOMPRO,Realty,Realty,"Residential, Commercial Projects"
EPUJA,Financial Services,Finance,Non Banking Financial Company (NBFC)
EQUILATERA,Capital Goods,Electrical Equipment,Other Electrical Equipment
EQUIPPP,Information Technology,IT - Software,Computers - Software & Consulting
EQUITASBNK,Financial Services,Banks,Other Bank
ERIS,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ERPSOFT,Services,Commercial Services & Supplies,Diversified Commercial Services
ESABINDIA,Capital Goods,Industrial Products,Other Industrial Products
ESAFSFB,Financial Services,Banks,Other Bank
ESARIND,Services,Commercial Services & Supplies,Diversified Commercial Services
ESCORP,Financial Services,Finance,Other Financial Services
ESCORTS,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Tractors
ESHAMEDIA,"Media, Entertainment & Publication",Media,Advertising & Media Agencies
ESPIRE,Consumer Services,Leisure Services,Hotels & Resorts
ESQRMON,Services,Commercial Services & Supplies,Diversified Commercial Services
ESSARSHPNG,Services,Transport Services,Shipping
ESSENTIA,Services,Commercial Services & Supplies,Trading & Distributors
ESSEX,Fast Moving Consumer Goods,Food Products,Seafood
ESTER,Capital Goods,Industrial Products,Packaging
ETERNAL,Consumer Services,Retailing,E-Retail/ E-Commerce
ETHOSLTD,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
ETIL,Financial Services,Finance,Non Banking Financial Company (NBFC)
EUPHORIAIT,Information Technology,IT - Services,IT Enabled Services
EUREKAFORB,Consumer Durables,Consumer Durables,Household Appliances
EUREKAI,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
EUROBOND,Capital Goods,Industrial Products,"Aluminium, Copper & Zinc Products"
EUROLED,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
EUROPRATIK,Consumer Durables,Consumer Durables,"Furniture, Home Furnishing"
EUROTEXIND,Textiles,Textiles & Apparels,Other Textile Products
EVANS,Services,Commercial Services & Supplies,Diversified Commercial Services
EVEREADY,Fast Moving Consumer Goods,Household Products,Household Products
EVERESTIND,Construction Materials,Other Construction Materials,Other Construction Materials
EVERESTO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
EVERFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
EVEXIA,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
EVOQ,Services,Commercial Services & Supplies,Trading & Distributors
EXATO,Information Technology,IT - Services,IT Enabled Services
EXCELINDUS,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
EXCELSOFT,Information Technology,IT - Services,IT Enabled Services
EXHICON,Consumer Services,Other Consumer Services,Other Consumer Services
EXICOM,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
EXIDEIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
EXPLEOSOL,Information Technology,IT - Services,IT Enabled Services
EXPLICITFIN,Services,Commercial Services & Supplies,Diversified Commercial Services
EXPOEAPL,Capital Goods,Industrial Products,Other Industrial Products
EXXARO,Consumer Durables,Consumer Durables,Ceramics
EY,Services,Commercial Services & Supplies,Diversified Commercial Services
FAALCON,Capital Goods,Industrial Manufacturing,Industrial Products
FABCLEAN,Capital Goods,Industrial Manufacturing,Industrial Products
FABINO,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FABTECH,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
FACORALL,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese
FACT,Chemicals,Fertilizers & Agrochemicals,Fertilizers
FAIRCHEMOR,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
FAMILYCARE,Healthcare,Healthcare Services,Healthcare Service Provider
FAZE3Q,Textiles,Textiles & Apparels,Other Textile Products
FCL,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
FCSSOFT,Information Technology,IT - Services,IT Enabled Services
FDC,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FEDDERSHOL,Financial Services,Finance,Non Banking Financial Company (NBFC)
FEDERALBNK,Financial Services,Banks,Private Sector Bank
FEDFINA,Financial Services,Finance,Non Banking Financial Company (NBFC)
FEL,Consumer Services,Retailing,Diversified Retail
FELDVR,Consumer Services,Retailing,Diversified Retail
FERMENTA,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FERVENTSYN,Services,Commercial Services & Supplies,Trading & Distributors
FFPL,"Oil, Gas & Consumable Fuels",Consumable Fuels,Coal
FGP,Financial Services,Finance,Non Banking Financial Company (NBFC)
FIBERWEB,Textiles,Textiles & Apparels,Other Textile Products
FIEMIND,Automobile and Auto Components,Auto Components,Auto Components & Equipments
FIL,Textiles,Textiles & Apparels,Garments & Apparels
FILATEX,Textiles,Textiles & Apparels,Other Textile Products
FILATFASH,Textiles,Textiles & Apparels,Garments & Apparels
FILME,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
FILTRA,Utilities,Other Utilities,Other Utilities
FILTRON,Services,Commercial Services & Supplies,Trading & Distributors
FINCABLES,Capital Goods,Industrial Products,Cables - Electricals
FINELINE,Information Technology,IT - Hardware,Computers Hardware & Equipments
FINEORG,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
FINKURVE,Financial Services,Finance,Non Banking Financial Company (NBFC)
FINOPB,Financial Services,Banks,Other Bank
FINPIPE,Capital Goods,Industrial Products,Plastic Products - Industrial
FIRSTCRY,Consumer Services,Retailing,E-Retail/ E-Commerce
FIRSTFIN,Information Technology,IT - Software,Software Products
FISCHER,Healthcare,Healthcare Equipment & Supplies,Medical Equipment & Supplies
FIVESTAR,Financial Services,Finance,Non Banking Financial Company (NBFC)
FLAIR,Fast Moving Consumer Goods,Household Products,Stationary
FLEXFO,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
FLEXITUFF,Textiles,Textiles & Apparels,Other Textile Products
FLFL,Consumer Services,Retailing,Diversified Retail
FLOMIC,Services,Transport Services,Logistics Solution Provider
FLORACORP,Services,Commercial Services & Supplies,Trading & Distributors
FLUIDOM,Capital Goods,Industrial Manufacturing,Industrial Products
FLUOROCHEM,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
FMEC,Financial Services,Finance,Non Banking Financial Company (NBFC)
FMGOETZE,Automobile and Auto Components,Auto Components,Auto Components & Equipments
FMNL,Services,Commercial Services & Supplies,Diversified Commercial Services
FOCUS,Information Technology,IT - Software,Computers - Software & Consulting
FONE4,Consumer Services,Retailing,E-Retail/ E-Commerce
FOODSIN,Fast Moving Consumer Goods,Food Products,Packaged Foods
FORBESCO,Consumer Durables,Consumer Durables,Household Appliances
FORCEMOT,Automobile and Auto Components,Automobiles,Passenger Cars & Utility Vehicles
FORINTL,Services,Commercial Services & Supplies,Trading & Distributors
FORTIS,Healthcare,Healthcare Services,Hospital
FORTISMLR,Healthcare,Healthcare Services,Hospital
FOSECOC,Capital Goods,Industrial Products,Electrodes & Refractories
FOSECOIND,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
FRACTAL,Information Technology,IT - Software,Computers - Software & Consulting
FRANKLIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
FRANKLININD,Services,Commercial Services & Supplies,Trading & Distributors
FRASER,Services,Commercial Services & Supplies,Trading & Distributors
FRATELLI,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
FREDUN,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
FRONTCAP,Services,Commercial Services & Supplies,Diversified Commercial Services
FRONTCORP,Services,Transport Services,Road Transport
FRONTFN,Services,Commercial Services & Supplies,Diversified Commercial Services
FRONTSP,Automobile and Auto Components,Auto Components,Auto Components & Equipments
FRUTION,Services,Commercial Services & Supplies,Trading & Distributors
FSL,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
FTL,Consumer Services,Retailing,E-Retail/ E-Commerce
FUNDVISER,Financial Services,Finance,Investment Company
FUSION,Financial Services,Finance,Microfinance Institutions
FUTSOL,Financial Services,Finance,Other Financial Services
FUTURSEC,Financial Services,Finance,Non Banking Financial Company (NBFC)
FYNX,Financial Services,Finance,Non Banking Financial Company (NBFC)
GABRIEL,Automobile and Auto Components,Auto Components,Auto Components & Equipments
GAEL,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
GAGAN,Chemicals,Chemicals & Petrochemicals,Industrial Gases
GAIL,"Oil, Gas & Consumable Fuels",Gas,Gas Transmission/Marketing
GAJANANSEC,Financial Services,Finance,Other Financial Services
GALACTICO,Diversified,Diversified,Diversified
GALADA,Capital Goods,Electrical Equipment,Other Electrical Equipment
GALADAFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
GALAGEX,Capital Goods,Industrial Manufacturing,Industrial Products
GALAPREC,Capital Goods,Industrial Manufacturing,Industrial Products
GALAXYSURF,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
GALLANTT,Capital Goods,Industrial Products,Iron & Steel Products
GALLARD,Automobile and Auto Components,Auto Components,Auto Components & Equipments
GALLOPENT,Realty,Realty,"Residential, Commercial Projects"
GALXBRG,Capital Goods,Industrial Products,Abrasives & Bearings
GAMCO,Financial Services,Finance,Other Financial Services
GANDHAR,"Oil, Gas & Consumable Fuels",Petroleum Products,Lubricants
GANDHITUBE,Capital Goods,Industrial Products,Iron & Steel Products
GANECOS,Textiles,Textiles & Apparels,Other Textile Products
GANESHBE,"Oil, Gas & Consumable Fuels",Oil,Oil Storage & Transportation
GANESHCP,Fast Moving Consumer Goods,Food Products,Packaged Foods
GANESHHOU,Realty,Realty,"Residential, Commercial Projects"
GANGAPA,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
GANGAPHARM,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
GANGESSECU,Fast Moving Consumer Goods,Agricultural Food & other Products,Tea & Coffee
GANHOLD,Services,Commercial Services & Supplies,Diversified Commercial Services
GANONPRO,Services,Commercial Services & Supplies,Trading & Distributors
GANVERSE,Services,Commercial Services & Supplies,Trading & Distributors
GARBIFIN,Financial Services,Finance,Non Banking Financial Company (NBFC)
GARFIBRES,Textiles,Textiles & Apparels,Other Textile Products
GARGFUR,Capital Goods,Industrial Products,Iron & Steel Products
GARGI,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
GARMNTMNTR,Textiles,Textiles & Apparels,Garments & Apparels
GARNET,Realty,Realty,"Residential, Commercial Projects"
